user,word,rating
User_0,satisfactory,3
User_0,professional,2
User_0,centennial,17
User_0,constraint,6
User_0,predominant,11
User_0,loop,0
User_0,gear,3
User_0,shade,5
User_0,carnival,11
User_0,drawing,8
User_0,curriculum,3
User_0,employer,2
User_0,extract,2
User_0,exhausted,8
User_0,seedling,33
User_0,fluent,3
User_0,jar,20
User_0,instinctively,0
User_0,vegetable,2
User_0,standardize,2
User_0,discomfort,7
User_0,sympathetic,0
User_0,digression,4
User_0,irregularly,8
User_0,foreshadow,5
User_0,ferromagnetic,3
User_0,spiritual,2
User_0,overlook,2
User_0,actively,1
User_0,purification,2
User_0,maneuver,0
User_0,kinetic,7
User_0,admittedly,4
User_0,disturb,2
User_0,slander,2
User_0,floodplain,2
User_0,anatomy,2
User_0,explore,15
User_0,naval,10
User_0,decline,2
User_0,commercial,5
User_0,fantastic,2
User_0,expedition,5
User_0,anxiously,3
User_0,detest,20
User_0,stimulation,1
User_0,particle,0
User_0,ventilation,15
User_0,inspiration,13
User_0,suit,2
User_0,detergent,3
User_0,tectonics,3
User_0,absentee,5
User_0,moisten,1
User_0,veteran,22
User_0,depressed,0
User_0,plague,12
User_0,reject,2
User_0,astonishing,0
User_0,bush,10
User_0,residential,0
User_0,imposing,1
User_0,literacy,7
User_0,primitive,2
User_0,citizenship,2
User_0,neurotransmitter,5
User_0,anticipate,3
User_0,clergy,14
User_0,obligatory,0
User_0,sculpture,0
User_0,sedimentary,4
User_0,exception,2
User_0,dwarf,6
User_0,format,1
User_0,occupation,6
User_0,express train,0
User_0,penalty,6
User_0,sloop,4
User_0,accommodate,5
User_0,miniature,5
User_0,mockingbird,2
User_0,uniformity,2
User_0,ultimate,1
User_0,implicit,3
User_0,sensation,2
User_0,advanced,0
User_0,chilly,5
User_0,pollination,0
User_0,terrific,5
User_0,ozone,6
User_0,current,3
User_0,disposed,4
User_0,diver,10
User_0,overlap,4
User_0,prosecute,0
User_0,demobilize,6
User_0,outmoded,0
User_0,unstable,8
User_0,transmute,1
User_0,predominantly,1
User_0,analogous,4
User_0,promoter,5
User_0,litter…with…,0
User_0,ultimate,1
User_0,footnote,6
User_0,notation,6
User_0,condemnation,1
